const,Title,Year
tt0094625,Akira,1988
tt0098063,Paprika,1991
tt0156887,Perfect Blue,1997
tt10423936,Adaptation,2019
tt0120601,Being John Malkovich,1999
tt0812243,Ex Drummer,2007
tt0120669,Fear and Loathing in Las Vegas,1998
tt0107048,Groundhog Day,1993
tt0147612,Happiness,1998
tt5688932,Sorry to Bother You,2018
tt0420223,Stranger Than Fiction,2006
tt0144084,American Psycho,2000
tt0137523,Fight Club,1999
tt0364569,Oldboy,2003
tt0117381,Primal Fear,1996
tt1392214,Prisoners,2013
tt0114369,Se7en,1995
tt0283003,Spun,2002
tt1179933,10 Cloverfield Lane,2016
tt0947798,Black Swan,2010
tt0464794,Butterfly Effect: The Creative Process,2004
tt1379182,Dogtooth,2009
tt1191111,Enter the Void,2009
tt0338013,Eternal Sunshine of the Spotless Mind,2004
tt0120663,Eyes Wide Shut,1999
tt3116316,The Jacket & The Dress,2013
tt0175880,Magnolia,1999
tt1527186,Melancholia,2011
tt1216496,Mother,2009
tt10810838,Mr Nobody,2018
tt0327056,Mystic River,2003
tt0102511,Naked Lunch,1991
tt0084472,Parasite,1982
tt0180093,Requiem for a Dream,2000
tt0383028,"Synecdoche, New York",2008
tt0243017,Waking Life,2001
tt0213642,Fall: The Price of Silence,2001
tt2798920,Annihilation,2018
tt0870984,Antichrist,2009
tt4935418,Baskin,2015
tt1954315,Borgman,2013
tt0059084,Darling,1965
tt0074486,Eraserhead,1977
tt0119081,Event Horizon,1997
tt5052448,Get Out,2017
tt7784604,Hereditary,2018
tt0027742,High Tension,1936
tt0113409,In the Mouth of Madness,1994
tt2620736,Jug Face,2013
tt1029234,Martyrs,2008
tt8772262,Midsommar,2019
tt0939636,Mist: The Tale of a Sheepdog Puppy,2006
tt1188729,Pandorum,2009
tt0470918,Shining the Ball,2005
tt4972582,Split,2016
tt3395184,Spring,2014
tt0076786,Suspiria,1977
tt0479727,Next Big Thing: The 2 Skinnee J's Farewell Show,2005
tt3099498,Tusk,2014
tt0020530,Un Chien Andalou,1929
tt5774060,Underwater,2020
tt0086541,Videodrome,1983
tt2309021,We Are What We Are,2013
tt1176731,Lilly the Witch: The Dragon and the Magic Book,2009
tt0090756,Blue Velvet,1986
tt0246578,Donnie Darko,2001
tt0929858,Final Approach,2007
tt1942884,Indie Game: The Movie,2012
tt0309698,Identity,2003
tt1255953,Incendies,2010
tt0460829,Inland Empire,2006
tt0116922,Lost Highway,1997
tt8326220,Mulholland Drive,2016
tt0317042,One Point O,2004
tt9484998,Palm Springs,2020
tt0138704,Pi,1998
tt4536522,Massacre for Prestige: The Hidden Worlds of Power,1974
tt0259711,Vanilla Sky,2001
tt8368406,Vivarium,2019
tt0114746,12 Monkeys,1995
tt0062622,2001: A Space Odyssey,1968
tt2543164,Arrival,2016
tt0088846,Brazil,1985
tt2866360,Coherence,2013
tt0123755,Cube,1997
tt0118929,Dark City,1998
tt0470752,Ex Machina,2014
tt0120907,eXistenZ,1999
tt1375666,Inception,2010
tt0816692,Interstellar,2014
tt1276104,Looper,2012
tt0438231,The Matrix: The Movie Special,1999
tt1182345,Moon,2009
tt2397535,Predestination,2014
tt0390384,Primer,2004
tt0286106,Signs,2002
tt1017460,Splice,2009
tt0079944,Stalker,1979
tt0448134,Sunshine,2007
tt1441395,Under the Skin,2013
tt2084989,Upstream Color,2013
tt0137363,Arlington Road,1999
tt2316411,Enemy,2013
tt0264616,Frailty,2001
tt7861644,The Gift: The Journey of Johnny Cash,2019
tt2267998,Gone Girl,2014
tt0209144,Memento,2000
tt1130884,Shutter Island,2010
tt5447522,The Sixth Sense: The Actors,2000
tt1187064,Triangle,2009
tt0052357,Vertigo,1958
